Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"CHARGE_OVER","OffPage","12_POWER_IN_12V","12","DCA-270_EB","R128.2","780","1030","3A","2"
"CHARGE_OVER","OffPage","02_CONNECTOR","2","DCA-270_EB","JL2.20","1260","590","2B","12"
"DISCHARGE_OVER","OffPage","12_POWER_IN_12V","12","DCA-270_EB","R127.2","780","970","3A","2"
"DISCHARGE_OVER","OffPage","02_CONNECTOR","2","DCA-270_EB","JL2.22","1260","600","2B","12"
"COM_RXD2","OffPage","04_RS232","4","DCA-270_EB","R30.2,U4.4","680","450","3C","2"
"COM_RXD2","OffPage","02_CONNECTOR","2","DCA-270_EB","U2.4","420","850","4B","4"
"COM_TXD2","OffPage","05_RS485","5","DCA-270_EB","U10.4,U7.1,U7.2,U8.1,U8.2,U9.4","200","330","5C","2,4"
"COM_TXD2","OffPage","04_RS232","4","DCA-270_EB","U3.20","270","210","5D","2,5"
"COM_TXD2","OffPage","02_CONNECTOR","2","DCA-270_EB","U1.4","420","580","4B","4,5"
"COM_TXD3","OffPage","05_RS485","5","DCA-270_EB","U10.4,U7.1,U7.2,U8.1,U8.2,U9.4","180","830","5B","2,4"
"COM_TXD3","OffPage","04_RS232","4","DCA-270_EB","U3.21","270","220","5D","2,5"
"COM_TXD3","OffPage","02_CONNECTOR","2","DCA-270_EB","U1.5","420","590","4B","4,5"
"CAN_TXD1","OffPage","06_CAN_INTERFACE","6","DCA-270_EB","R60.1","220","750","5B","2"
"CAN_TXD1","OffPage","02_CONNECTOR","2","DCA-270_EB","U1.8","420","620","4B","6"
"CAN_RXD1","OffPage","06_CAN_INTERFACE","6","DCA-270_EB","C58.1,R59.1","220","740","5B","2"
"CAN_RXD1","OffPage","02_CONNECTOR","2","DCA-270_EB","U2.8","420","890","4A","6"
"ENET1_LINK","OffPage","03_RJ45","3","DCA-270_EB","J10.P12","610","740","4B","2"
"ENET1_LINK","OffPage","02_CONNECTOR","2","DCA-270_EB","JL2.28","1260","630","2B","3"
"ENET1_TD+","OffPage","03_RJ45","3","DCA-270_EB","R12.1,T1.1","360","250","4D","2"
"ENET1_TD+","OffPage","02_CONNECTOR","2","DCA-270_EB","JL2.31","850","650","3B","3"
"ENET1_LED","OffPage","03_RJ45","3","DCA-270_EB","J10.P10","610","710","4B","2"
"ENET1_LED","OffPage","02_CONNECTOR","2","DCA-270_EB","JL2.27","850","630","3B","3"
"UART_RX232_3","OffPage","05_RS485","5","DCA-270_EB","JP6.3","320","1050","4A","4"
"UART_RX232_3","OffPage","04_RS232","4","DCA-270_EB","R28.2","810","270","3D","5"
"COM485_RXD2","OffPage","05_RS485","5","DCA-270_EB","U9.1","200","300","5C","4"
"COM485_RXD2","OffPage","04_RS232","4","DCA-270_EB","R32.1","230","440","5C","5"
"UART_RX232_2","OffPage","05_RS485","5","DCA-270_EB","JP3.3","360","530","4C","4"
"UART_RX232_2","OffPage","04_RS232","4","DCA-270_EB","R27.2","810","260","3D","5"
"COM485_B2","OffPage","05_RS485","5","DCA-270_EB","JP1.2,R43.2","1500","280","1C","4"
"COM485_B2","OffPage","04_RS232","4","DCA-270_EB","J7.7","1040","830","2B","5"
"COM485_A2","OffPage","05_RS485","5","DCA-270_EB","R42.2,R44.2","1500","340","1C","4"
"COM485_A2","OffPage","04_RS232","4","DCA-270_EB","J7.6","1040","820","2B","5"
"UART_TX232_2","OffPage","05_RS485","5","DCA-270_EB","JP2.3","360","520","4C","4"
"UART_TX232_2","OffPage","04_RS232","4","DCA-270_EB","R23.2","810","210","3D","5"
"ENET1_RD+","OffPage","03_RJ45","3","DCA-270_EB","R14.1,T1.6","360","310","4C","2"
"ENET1_RD+","OffPage","02_CONNECTOR","2","DCA-270_EB","JL2.32","1260","650","2B","3"
"UART_TX232_3","OffPage","05_RS485","5","DCA-270_EB","JP5.3","320","1040","4A","4"
"UART_TX232_3","OffPage","04_RS232","4","DCA-270_EB","R24.2","810","220","3D","5"
"ENET1_RD-","OffPage","03_RJ45","3","DCA-270_EB","R15.1,T1.8","360","330","4C","2"
"ENET1_RD-","OffPage","02_CONNECTOR","2","DCA-270_EB","JL2.34","1260","660","2B","3"
"ENET1_TD-","OffPage","03_RJ45","3","DCA-270_EB","R13.1,T1.3","360","270","4D","2"
"ENET1_TD-","OffPage","02_CONNECTOR","2","DCA-270_EB","JL2.33","850","660","3B","3"
"COM485_RXD3","OffPage","05_RS485","5","DCA-270_EB","U10.1","180","800","5B","4"
"COM485_RXD3","OffPage","04_RS232","4","DCA-270_EB","R36.1","230","620","5B","5"
"DI_IN0","OffPage","07_DI_IN","7","DCA-270_EB","C62.1,R64.2,U13.6","330","280","4C","2"
